material_name,description,unit_price,unit,region,vendor,vat_rate,quality_score,updated_at,source
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,20.55,€/unit,Auvergne-Rhône-Alpes,PointP,10,5,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",42.28,€/m²,PACA,Brico,,4,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",11.41,€/liter,Occitanie,Leroy Merlin,,1,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",1.8,€/kg,Belgium,Brico Dépôt,,2,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",41.12,€/m²,Île-de-France,PointP,20,1,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,16.72,€/unit,Belgium,Leroy Merlin,,4,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,5.18,€/liter,Auvergne-Rhône-Alpes,Brico Dépôt,10,3,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,19.81,€/unit,Occitanie,Leroy Merlin,10,5,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",2.55,€/kg,Auvergne-Rhône-Alpes,Castorama,20,1,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",3.0,€/kg,Belgium,Brico Dépôt,,2,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",14.17,€/liter,Auvergne-Rhône-Alpes,Leroy Merlin,20,1,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,8.35,€/liter,Île-de-France,PointP,10,4,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",16.56,€/unit,PACA,PointP,20,1,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,32.49,€/m²,Belgium,DonizoSim,10,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,6.22,€/unit,Auvergne-Rhône-Alpes,Leroy Merlin,,1,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
